"fdc_id","food_code","wweia_category_code","start_date","end_date"
"2340760","11000000","9602","2019-01-01","2020-12-31"
"2340761","11100000","1004","2019-01-01","2020-12-31"
"2340762","11111000","1002","2019-01-01","2020-12-31"
"2340763","11112110","1004","2019-01-01","2020-12-31"
"2340764","11112210","1006","2019-01-01","2020-12-31"
"2340765","11113000","1008","2019-01-01","2020-12-31"
"2340766","11114300","1006","2019-01-01","2020-12-31"
"2340767","11114320","1008","2019-01-01","2020-12-31"
"2340768","11114330","1004","2019-01-01","2020-12-31"
"2340769","11114350","1002","2019-01-01","2020-12-31"
"2340770","11115000","1008","2019-01-01","2020-12-31"
"2340771","11115300","1002","2019-01-01","2020-12-31"
"2340772","11115400","1006","2019-01-01","2020-12-31"
"2340773","11116000","1002","2019-01-01","2020-12-31"
"2340774","11120000","1008","2019-01-01","2020-12-31"
"2340775","11121100","1002","2019-01-01","2020-12-31"
"2340776","11121210","1006","2019-01-01","2020-12-31"
"2340777","11121300","1008","2019-01-01","2020-12-31"
"2340778","11210050","1002","2019-01-01","2020-12-31"
"2340779","11211050","1002","2019-01-01","2020-12-31"
"2340780","11211400","1004","2019-01-01","2020-12-31"
"2340781","11212050","1008","2019-01-01","2020-12-31"
"2340782","11220000","1202","2019-01-01","2020-12-31"
"2340783","11300100","1404","2019-01-01","2020-12-31"
"2340784","11320000","1404","2019-01-01","2020-12-31"
"2340785","11320100","1404","2019-01-01","2020-12-31"
"2340786","11320200","1404","2019-01-01","2020-12-31"
"2340787","11321000","1404","2019-01-01","2020-12-31"
"2340788","11321100","1404","2019-01-01","2020-12-31"
"2340789","11350000","1404","2019-01-01","2020-12-31"
"2340790","11350010","1404","2019-01-01","2020-12-31"
"2340791","11350020","1404","2019-01-01","2020-12-31"
"2340792","11350030","1404","2019-01-01","2020-12-31"
"2340793","11360000","1404","2019-01-01","2020-12-31"
"2340794","11370000","1404","2019-01-01","2020-12-31"
"2340795","11400000","1820","2019-01-01","2020-12-31"
"2340796","11400010","1822","2019-01-01","2020-12-31"
"2340797","11410000","1820","2019-01-01","2020-12-31"
"2340798","11411010","1820","2019-01-01","2020-12-31"
"2340799","11411100","1820","2019-01-01","2020-12-31"
"2340800","11411200","1820","2019-01-01","2020-12-31"
"2340801","11411300","1820","2019-01-01","2020-12-31"
"2340802","11411390","1822","2019-01-01","2020-12-31"
"2340803","11411400","1822","2019-01-01","2020-12-31"
"2340804","11411410","1822","2019-01-01","2020-12-31"
"2340805","11411420","1822","2019-01-01","2020-12-31"
"2340806","11430000","1820","2019-01-01","2020-12-31"
"2340807","11431000","1820","2019-01-01","2020-12-31"
"2340808","11432000","1820","2019-01-01","2020-12-31"
"2340809","11433000","1820","2019-01-01","2020-12-31"
"2340810","11433990","1822","2019-01-01","2020-12-31"
"2340811","11434000","1822","2019-01-01","2020-12-31"
"2340812","11434010","1822","2019-01-01","2020-12-31"
"2340813","11434020","1822","2019-01-01","2020-12-31"
"2340814","11434090","1820","2019-01-01","2020-12-31"
"2340815","11434100","1820","2019-01-01","2020-12-31"
"2340816","11434200","1820","2019-01-01","2020-12-31"
"2340817","11434300","1820","2019-01-01","2020-12-31"
"2340818","11435000","1822","2019-01-01","2020-12-31"
"2340819","11435010","1822","2019-01-01","2020-12-31"
"2340820","11435020","1822","2019-01-01","2020-12-31"
"2340821","11435030","1822","2019-01-01","2020-12-31"
"2340822","11435100","1822","2019-01-01","2020-12-31"
"2340823","11436000","1820","2019-01-01","2020-12-31"
"2340824","11440010","8412","2019-01-01","2020-12-31"
"2340825","11440030","8412","2019-01-01","2020-12-31"
"2340826","11440040","8412","2019-01-01","2020-12-31"
"2340827","11440050","8412","2019-01-01","2020-12-31"
"2340828","11440060","8412","2019-01-01","2020-12-31"
"2340829","11440070","8412","2019-01-01","2020-12-31"
"2340830","11446000","1820","2019-01-01","2020-12-31"
"2340831","11459990","5802","2019-01-01","2020-12-31"
"2340832","11460000","5802","2019-01-01","2020-12-31"
"2340833","11460100","5802","2019-01-01","2020-12-31"
"2340834","11460500","5802","2019-01-01","2020-12-31"
"2340835","11460510","5802","2019-01-01","2020-12-31"
"2340836","11461200","5802","2019-01-01","2020-12-31"
"2340837","11461210","5802","2019-01-01","2020-12-31"
"2340838","11461220","5802","2019-01-01","2020-12-31"
"2340839","11461250","5802","2019-01-01","2020-12-31"
"2340840","11461260","5802","2019-01-01","2020-12-31"
"2340841","11461300","5802","2019-01-01","2020-12-31"
"2340842","11461320","5802","2019-01-01","2020-12-31"
"2340843","11480000","9007","2019-01-01","2020-12-31"
"2340844","11480010","9010","2019-01-01","2020-12-31"
"2340845","11480100","9010","2019-01-01","2020-12-31"
"2340846","11511000","1208","2019-01-01","2020-12-31"
"2340847","11511100","1202","2019-01-01","2020-12-31"
"2340848","11511200","1204","2019-01-01","2020-12-31"
"2340849","11511300","1208","2019-01-01","2020-12-31"
"2340850","11511400","1206","2019-01-01","2020-12-31"
"2340851","11511550","1206","2019-01-01","2020-12-31"
"2340852","11511600","1206","2019-01-01","2020-12-31"
"2340853","11511700","1206","2019-01-01","2020-12-31"
"2340854","11512010","1204","2019-01-01","2020-12-31"
"2340855","11512020","1208","2019-01-01","2020-12-31"
"2340856","11512030","1404","2019-01-01","2020-12-31"
"2340857","11512100","1204","2019-01-01","2020-12-31"
"2340858","11513100","1202","2019-01-01","2020-12-31"
"2340859","11513150","1204","2019-01-01","2020-12-31"
"2340860","11513300","1208","2019-01-01","2020-12-31"
"2340861","11513310","1404","2019-01-01","2020-12-31"
"2340862","11513380","1204","2019-01-01","2020-12-31"
"2340863","11513381","1202","2019-01-01","2020-12-31"
"2340864","11513382","1204","2019-01-01","2020-12-31"
"2340865","11513383","1206","2019-01-01","2020-12-31"
"2340866","11513384","1208","2019-01-01","2020-12-31"
"2340867","11513385","1404","2019-01-01","2020-12-31"
"2340868","11513392","1204","2019-01-01","2020-12-31"
"2340869","11513395","1404","2019-01-01","2020-12-31"
"2340870","11513400","1204","2019-01-01","2020-12-31"
"2340871","11513500","1202","2019-01-01","2020-12-31"
"2340872","11513550","1204","2019-01-01","2020-12-31"
"2340873","11513600","1206","2019-01-01","2020-12-31"
"2340874","11513700","1208","2019-01-01","2020-12-31"
"2340875","11513750","1404","2019-01-01","2020-12-31"
"2340876","11513801","1202","2019-01-01","2020-12-31"
"2340877","11513802","1204","2019-01-01","2020-12-31"
"2340878","11513803","1206","2019-01-01","2020-12-31"
"2340879","11513804","1208","2019-01-01","2020-12-31"
"2340880","11513851","1202","2019-01-01","2020-12-31"
"2340881","11514100","1208","2019-01-01","2020-12-31"
"2340882","11514110","1202","2019-01-01","2020-12-31"
"2340883","11514120","1204","2019-01-01","2020-12-31"
"2340884","11514130","1206","2019-01-01","2020-12-31"
"2340885","11514140","1208","2019-01-01","2020-12-31"
"2340886","11514150","1404","2019-01-01","2020-12-31"
"2340887","11514310","1208","2019-01-01","2020-12-31"
"2340888","11514320","1202","2019-01-01","2020-12-31"
"2340889","11514330","1204","2019-01-01","2020-12-31"
"2340890","11514340","1206","2019-01-01","2020-12-31"
"2340891","11514350","1208","2019-01-01","2020-12-31"
"2340892","11514360","1404","2019-01-01","2020-12-31"
"2340893","11519040","1204","2019-01-01","2020-12-31"
"2340894","11519050","1202","2019-01-01","2020-12-31"
"2340895","11519105","1204","2019-01-01","2020-12-31"
"2340896","11519200","1206","2019-01-01","2020-12-31"
"2340897","11519205","1208","2019-01-01","2020-12-31"
"2340898","11519210","1206","2019-01-01","2020-12-31"
"2340899","11519215","1404","2019-01-01","2020-12-31"
"2340900","11526000","1204","2019-01-01","2020-12-31"
"2340901","11531000","1402","2019-01-01","2020-12-31"
"2340902","11541110","1402","2019-01-01","2020-12-31"
"2340903","11541120","1402","2019-01-01","2020-12-31"
"2340904","11541130","1402","2019-01-01","2020-12-31"
"2340905","11541135","1402","2019-01-01","2020-12-31"
"2340906","11541400","1402","2019-01-01","2020-12-31"
"2340907","11542100","1402","2019-01-01","2020-12-31"
"2340908","11542200","1402","2019-01-01","2020-12-31"
"2340909","11543000","1402","2019-01-01","2020-12-31"
"2340910","11543010","1402","2019-01-01","2020-12-31"
"2340911","11551050","7220","2019-01-01","2020-12-31"
"2340912","11553100","7220","2019-01-01","2020-12-31"
"2340913","11553110","7220","2019-01-01","2020-12-31"
"2340914","11553120","7220","2019-01-01","2020-12-31"
"2340915","11553130","7220","2019-01-01","2020-12-31"
"2340916","11560000","1402","2019-01-01","2020-12-31"
"2340917","11710000","9404","2019-01-01","2020-12-31"
